County,State,TotalPop,Men,Women,White,Black,Native,Asian,Pacific,Other
Autauga , Alabama,55200,48.7,51.3,76.9,19.1,0.3,1,0.1,0.7
Baldwin , Alabama,208107,48.6,51.4,86.3,9.5,0.7,0.8,0,1
Barbour , Alabama,25782,53.1,46.9,47.4,47.6,0.3,0.4,0,3
Bibb , Alabama,22527,53.9,46.1,76.7,22.3,0,0.2,0,0
Blount , Alabama,57645,49.3,50.7,95.5,1.5,0.2,0.3,0,0.8
Bullock , Alabama,10352,54.7,45.3,22,76.2,1.2,0.5,0,0
Butler , Alabama,20025,46.8,53.2,52,45.2,0,1.2,0,0
Calhoun , Alabama,115098,48.1,51.9,74.3,20.6,0.3,0.9,0,1.5
Chambers , Alabama,33826,48.1,51.9,57.6,39.4,0.3,1.2,0,0.5
Cherokee , Alabama,25853,49.6,50.4,92.8,4.9,0.9,0.2,0,0.3
Chilton , Alabama,43930,49.3,50.7,83.3,9.4,0.3,0.4,0,4.2
Choctaw , Alabama,13075,47.8,52.2,56.7,42.8,0.1,0.1,0,0.1
Clarke , Alabama,24387,47.3,52.7,53,45.8,0.1,0.5,0,0
Clay , Alabama,13378,48.3,51.7,83,14.8,1.2,0.1,0,0.2
Cleburne , Alabama,14938,48.7,51.3,94.2,2.6,0.3,0,0,0.8
Coffee , Alabama,51288,49.4,50.6,75.9,17.2,1.2,1.3,0,1.3
Colbert , Alabama,54495,47.8,52.2,79.4,15.8,0.7,0.5,0.1,1.3
Conecuh , Alabama,12514,48.2,51.8,50.9,47.7,0.4,0.1,0,0
Coosa , Alabama,10855,50.7,49.3,65.7,34.2,0.1,0,0,0
Covington , Alabama,37351,48.7,51.3,84.7,12.9,0.2,0.4,0,0.2
Crenshaw , Alabama,13865,49.1,50.9,71.7,23.1,0.8,1.4,0,1.1
Cullman , Alabama,82313,49.3,50.7,95.2,1.2,0.4,0.4,0,1
Dale , Alabama,49255,49.2,50.8,72.9,19.8,0.8,1.3,0,1.9
Dallas , Alabama,40029,46.1,53.9,28.1,70.5,0,0.6,0.1,0.1
DeKalb , Alabama,71200,49.6,50.4,85.6,1.4,1.3,0.2,0.9,8.3
Elmore , Alabama,81212,48.6,51.4,74.9,21.4,0.3,0.5,0,1
Escambia , Alabama,37328,51.1,48.9,61.9,31.9,3.8,0.4,0.2,0.6
Etowah , Alabama,102939,48.2,51.8,80.3,15.7,0.7,0.7,0.1,0.7
