Month year,US deaths,South Vietnamese deaths,Third party deaths,Enemy deaths
Jan-66,282,903,74,2648
Feb-66,435,1359,58,4727
Mar-66,507,1145,59,5685
Apr-66,316,945,30,2818
May-66,464,961,19,4239
Jun-66,507,1185,41,4815
Jul-66,435,1006,32,5297
Aug-66,396,914,44,5860
Sep-66,419,803,30,4459
Oct-66,340,844,63,5665
Nov-66,475,907,87,5447
Dec-66,432,981,29,3864
Jan-67,520,914,77,6064
Feb-67,662,885,95,7341
Mar-67,944,1297,54,9351
Apr-67,710,1057,56,6227
May-67,1233,1184,112,9808
Jun-67,830,981,74,7354
Jul-67,781,676,102,7923
Aug-67,535,1068,90,5810
Sep-67,775,1090,149,6354
Oct-67,733,1066,96,6272
Nov-67,881,1299,98,7662
Dec-67,774,1199,102,7938
Jan-68,1202,2905,111,15217
Feb-68,2124,5025,147,39867
Mar-68,1543,2570,88,17371
Apr-68,1410,1922,85,12215
May-68,2169,3467,85,24086
Jun-68,1146,1947,92,10319
Jul-68,813,1409,65,6653
Aug-68,1080,2393,73,15478
Sep-68,1053,2164,58,12543
Oct-68,600,1169,70,8168
Nov-68,703,1408,38,9632
Dec-68,749,1509,67,9600
Jan-69,795,1664,76,10955
Feb-69,1073,2072,85,14086
Mar-69,1316,2186,90,19805
Apr-69,847,1710,52,14539
May-69,1209,2251,92,17443
Jun-69,1100,1867,75,16825
Jul-69,638,1455,64,10237
Aug-69,795,1625,74,12373
Sep-69,477,1543,60,10369
Oct-69,377,1597,80,8747
Nov-69,446,2105,62,11639
Dec-69,341,1758,56,9936
Jan-70,343,1768,69,9187
Feb-70,386,1417,36,8828
Mar-70,449,1674,75,10335
Apr-70,526,2642,79,13063
May-70,754,2851,58,17256
Jun-70,418,2873,63,7861
Jul-70,332,1711,71,7183
Aug-70,319,1720,63,6446
Sep-70,219,1734,46,6138
Oct-70,170,1491,57,5549
Nov-70,167,1619,48,5607
Dec-70,138,1846,39,6185
Jan-71,140,1616,30,6155
Feb-71,221,2435,48,11704
Mar-71,272,3676,104,19858
Apr-71,226,2198,86,10457
May-71,138,2091,50,9094
Jun-71,108,1846,44,7648
Jul-71,65,1389,44,6247
Aug-71,67,1488,32,6165
Sep-71,78,1607,27,6300
Oct-71,29,1574,20,5744
Nov-71,19,1161,14,4283
Dec-71,17,988,26,4439
,,,,
 ,,,,
